algorithm,k,superholderpriority,recall
npi,5,0,0.971201588877855
npi,5,1,0.971201588877855
transitive_alpha0.0,5,0,0.388282025819265
transitive_alpha0.0,5,1,0.388282025819265
transitive_alpha0.1,5,0,0.906653426017875
transitive_alpha0.1,5,1,1
transitive_alpha0.2,5,0,0.906653426017875
transitive_alpha0.2,5,1,1
transitive_alpha0.3,5,0,0.908639523336644
transitive_alpha0.3,5,1,1
transitive_alpha0.4,5,0,0.908639523336644
transitive_alpha0.4,5,1,1
transitive_alpha0.5,5,0,0.916583912611718
transitive_alpha0.5,5,1,1
transitive_alpha0.6,5,0,0.916583912611718
transitive_alpha0.6,5,1,1
transitive_alpha0.7,5,0,0.916583912611718
transitive_alpha0.7,5,1,1
transitive_alpha0.8,5,0,0.925521350546177
transitive_alpha0.8,5,1,0.998013902681231
transitive_alpha0.9,5,0,0.972194637537239
transitive_alpha0.9,5,1,0.998013902681231
transitive_alpha0.999,5,0,0.99304865938431
transitive_alpha0.999,5,1,0.998013902681231
transitivedpi_alpha0.0,5,0,0.387288977159881
transitivedpi_alpha0.0,5,1,0.387288977159881
transitivedpi_alpha0.1,5,0,0.905660377358491
transitivedpi_alpha0.1,5,1,0.999006951340616
transitivedpi_alpha0.2,5,0,0.905660377358491
transitivedpi_alpha0.2,5,1,0.999006951340616
transitivedpi_alpha0.3,5,0,0.905660377358491
transitivedpi_alpha0.3,5,1,0.999006951340616
transitivedpi_alpha0.4,5,0,0.905660377358491
transitivedpi_alpha0.4,5,1,0.999006951340616
transitivedpi_alpha0.5,5,0,0.906653426017875
transitivedpi_alpha0.5,5,1,0.999006951340616
transitivedpi_alpha0.6,5,0,0.907646474677259
transitivedpi_alpha0.6,5,1,0.999006951340616
transitivedpi_alpha0.7,5,0,0.907646474677259
transitivedpi_alpha0.7,5,1,0.999006951340616
transitivedpi_alpha0.8,5,0,0.916583912611718
transitivedpi_alpha0.8,5,1,0.997020854021847
transitivedpi_alpha0.9,5,0,0.938430983118173
transitivedpi_alpha0.9,5,1,0.997020854021847
transitivedpi_alpha0.999,5,0,0.98609731876862
transitivedpi_alpha0.999,5,1,0.997020854021847
baseline,6,0,0.388282025819265
dpi,6,0,0.388282025819265
dpi,6,1,0.388282025819265
npi,6,0,0.971201588877855
npi,6,1,0.971201588877855
transitive_alpha0.0,6,0,0.388282025819265
transitive_alpha0.0,6,1,0.388282025819265
transitive_alpha0.1,6,0,0.924528301886792
transitive_alpha0.1,6,1,1
transitive_alpha0.2,6,0,0.924528301886792
transitive_alpha0.2,6,1,1
transitive_alpha0.3,6,0,0.925521350546177
transitive_alpha0.3,6,1,1
transitive_alpha0.4,6,0,0.925521350546177
transitive_alpha0.4,6,1,1
transitive_alpha0.5,6,0,0.930486593843098
transitive_alpha0.5,6,1,1
transitive_alpha0.6,6,0,0.930486593843098
transitive_alpha0.6,6,1,1
transitive_alpha0.7,6,0,0.930486593843098
transitive_alpha0.7,6,1,1
transitive_alpha0.8,6,0,0.94240317775571
transitive_alpha0.8,6,1,1
transitive_alpha0.9,6,0,0.990069513406157
transitive_alpha0.9,6,1,1
transitive_alpha0.999,6,0,0.998013902681231
transitive_alpha0.999,6,1,1
transitivedpi_alpha0.0,6,0,0.387288977159881
transitivedpi_alpha0.0,6,1,0.387288977159881
transitivedpi_alpha0.1,6,0,0.923535253227408
transitivedpi_alpha0.1,6,1,0.999006951340616
transitivedpi_alpha0.2,6,0,0.923535253227408
transitivedpi_alpha0.2,6,1,0.999006951340616
transitivedpi_alpha0.3,6,0,0.923535253227408
transitivedpi_alpha0.3,6,1,0.999006951340616
transitivedpi_alpha0.4,6,0,0.923535253227408
transitivedpi_alpha0.4,6,1,0.999006951340616
transitivedpi_alpha0.5,6,0,0.924528301886792
transitivedpi_alpha0.5,6,1,0.999006951340616
transitivedpi_alpha0.6,6,0,0.929493545183714
transitivedpi_alpha0.6,6,1,0.999006951340616
transitivedpi_alpha0.7,6,0,0.929493545183714
transitivedpi_alpha0.7,6,1,0.999006951340616
transitivedpi_alpha0.8,6,0,0.938430983118173
transitivedpi_alpha0.8,6,1,0.999006951340616
transitivedpi_alpha0.9,6,0,0.95630585898709
transitivedpi_alpha0.9,6,1,0.999006951340616
transitivedpi_alpha0.999,6,0,0.996027805362463
transitivedpi_alpha0.999,6,1,0.999006951340616
baseline,7,0,0.388282025819265
dpi,7,0,0.388282025819265
dpi,7,1,0.388282025819265
npi,7,0,0.971201588877855
npi,7,1,0.971201588877855
transitive_alpha0.0,7,0,0.388282025819265
transitive_alpha0.0,7,1,0.388282025819265
transitive_alpha0.1,7,0,0.941410129096326
transitive_alpha0.1,7,1,1
transitive_alpha0.2,7,0,0.941410129096326
transitive_alpha0.2,7,1,1
transitive_alpha0.3,7,0,0.941410129096326
transitive_alpha0.3,7,1,1
transitive_alpha0.4,7,0,0.941410129096326
transitive_alpha0.4,7,1,1
transitive_alpha0.5,7,0,0.946375372393247
transitive_alpha0.5,7,1,1
transitive_alpha0.6,7,0,0.946375372393247
transitive_alpha0.6,7,1,1
transitive_alpha0.7,7,0,0.946375372393247
transitive_alpha0.7,7,1,1
transitive_alpha0.8,7,0,0.953326713008937
transitive_alpha0.8,7,1,1
transitive_alpha0.9,7,0,0.997020854021847
transitive_alpha0.9,7,1,1
transitive_alpha0.999,7,0,1
transitive_alpha0.999,7,1,1
transitivedpi_alpha0.0,7,0,0.387288977159881
transitivedpi_alpha0.0,7,1,0.387288977159881
transitivedpi_alpha0.1,7,0,0.936444885799404
transitivedpi_alpha0.1,7,1,0.999006951340616
transitivedpi_alpha0.2,7,0,0.936444885799404
transitivedpi_alpha0.2,7,1,0.999006951340616
transitivedpi_alpha0.3,7,0,0.936444885799404
transitivedpi_alpha0.3,7,1,0.999006951340616
transitivedpi_alpha0.4,7,0,0.936444885799404
transitivedpi_alpha0.4,7,1,0.999006951340616
transitivedpi_alpha0.5,7,0,0.941410129096326
transitivedpi_alpha0.5,7,1,0.999006951340616
transitivedpi_alpha0.6,7,0,0.941410129096326
transitivedpi_alpha0.6,7,1,0.999006951340616
transitivedpi_alpha0.7,7,0,0.941410129096326
transitivedpi_alpha0.7,7,1,0.999006951340616
transitivedpi_alpha0.8,7,0,0.944389275074479
transitivedpi_alpha0.8,7,1,0.999006951340616
transitivedpi_alpha0.9,7,0,0.971201588877855
transitivedpi_alpha0.9,7,1,0.999006951340616
transitivedpi_alpha0.999,7,0,0.999006951340616
transitivedpi_alpha0.999,7,1,0.999006951340616
baseline,8,0,0.388282025819265
dpi,8,0,0.388282025819265
dpi,8,1,0.388282025819265
npi,8,0,0.971201588877855
npi,8,1,0.971201588877855
transitive_alpha0.0,8,0,0.388282025819265
transitive_alpha0.0,8,1,0.388282025819265
transitive_alpha0.1,8,0,0.951340615690169
transitive_alpha0.1,8,1,1
transitive_alpha0.2,8,0,0.951340615690169
transitive_alpha0.2,8,1,1
transitive_alpha0.3,8,0,0.951340615690169
transitive_alpha0.3,8,1,1
transitive_alpha0.4,8,0,0.951340615690169
transitive_alpha0.4,8,1,1
transitive_alpha0.5,8,0,0.967229394240318
transitive_alpha0.5,8,1,1
transitive_alpha0.6,8,0,0.967229394240318
transitive_alpha0.6,8,1,1
transitive_alpha0.7,8,0,0.969215491559086
transitive_alpha0.7,8,1,1
transitive_alpha0.8,8,0,0.978152929493545
transitive_alpha0.8,8,1,1
transitive_alpha0.9,8,0,0.999006951340616
transitive_alpha0.9,8,1,1
transitive_alpha0.999,8,0,1
transitive_alpha0.999,8,1,1
transitivedpi_alpha0.0,8,0,0.387288977159881
transitivedpi_alpha0.0,8,1,0.387288977159881
transitivedpi_alpha0.1,8,0,0.951340615690169
transitivedpi_alpha0.1,8,1,0.999006951340616
transitivedpi_alpha0.2,8,0,0.951340615690169
transitivedpi_alpha0.2,8,1,0.999006951340616
transitivedpi_alpha0.3,8,0,0.951340615690169
transitivedpi_alpha0.3,8,1,0.999006951340616
transitivedpi_alpha0.4,8,0,0.951340615690169
transitivedpi_alpha0.4,8,1,0.999006951340616
transitivedpi_alpha0.5,8,0,0.951340615690169
transitivedpi_alpha0.5,8,1,0.999006951340616
transitivedpi_alpha0.6,8,0,0.95630585898709
transitivedpi_alpha0.6,8,1,0.999006951340616
transitivedpi_alpha0.7,8,0,0.95630585898709
transitivedpi_alpha0.7,8,1,0.999006951340616
transitivedpi_alpha0.8,8,0,0.95630585898709
transitivedpi_alpha0.8,8,1,0.999006951340616
transitivedpi_alpha0.9,8,0,0.984111221449851
transitivedpi_alpha0.9,8,1,0.999006951340616
transitivedpi_alpha0.999,8,0,0.999006951340616
transitivedpi_alpha0.999,8,1,0.999006951340616
baseline,9,0,0.388282025819265
dpi,9,0,0.388282025819265
dpi,9,1,0.388282025819265
npi,9,0,0.971201588877855
npi,9,1,0.971201588877855
transitive_alpha0.0,9,0,0.388282025819265
transitive_alpha0.0,9,1,0.388282025819265
transitive_alpha0.1,9,0,0.959285004965243
transitive_alpha0.1,9,1,1
transitive_alpha0.2,9,0,0.959285004965243
transitive_alpha0.2,9,1,1
transitive_alpha0.3,9,0,0.959285004965243
transitive_alpha0.3,9,1,1
transitive_alpha0.4,9,0,0.959285004965243
transitive_alpha0.4,9,1,1
transitive_alpha0.5,9,0,0.982125124131082
transitive_alpha0.5,9,1,1
transitive_alpha0.6,9,0,0.982125124131082
transitive_alpha0.6,9,1,1
transitive_alpha0.7,9,0,0.983118172790467
transitive_alpha0.7,9,1,1
transitive_alpha0.8,9,0,0.995034756703079
transitive_alpha0.8,9,1,1
transitive_alpha0.9,9,0,1
transitive_alpha0.9,9,1,1
transitive_alpha0.999,9,0,1
transitive_alpha0.999,9,1,1
transitivedpi_alpha0.0,9,0,0.387288977159881
transitivedpi_alpha0.0,9,1,0.387288977159881
transitivedpi_alpha0.1,9,0,0.954319761668322
transitivedpi_alpha0.1,9,1,0.999006951340616
transitivedpi_alpha0.2,9,0,0.954319761668322
transitivedpi_alpha0.2,9,1,0.999006951340616
transitivedpi_alpha0.3,9,0,0.954319761668322
transitivedpi_alpha0.3,9,1,0.999006951340616
transitivedpi_alpha0.4,9,0,0.954319761668322
transitivedpi_alpha0.4,9,1,0.999006951340616
transitivedpi_alpha0.5,9,0,0.959285004965243
transitivedpi_alpha0.5,9,1,0.999006951340616
transitivedpi_alpha0.6,9,0,0.970208540218471
transitivedpi_alpha0.6,9,1,0.999006951340616
transitivedpi_alpha0.7,9,0,0.970208540218471
transitivedpi_alpha0.7,9,1,0.999006951340616
transitivedpi_alpha0.8,9,0,0.970208540218471
transitivedpi_alpha0.8,9,1,0.999006951340616
transitivedpi_alpha0.9,9,0,0.998013902681231
transitivedpi_alpha0.9,9,1,0.999006951340616
transitivedpi_alpha0.999,9,0,0.999006951340616
transitivedpi_alpha0.999,9,1,0.999006951340616
baseline,10,0,0.388282025819265
dpi,10,0,0.388282025819265
dpi,10,1,0.388282025819265
npi,10,0,0.971201588877855
npi,10,1,0.971201588877855
transitive_alpha0.0,10,0,0.388282025819265
transitive_alpha0.0,10,1,0.388282025819265
transitive_alpha0.1,10,0,0.973187686196624
transitive_alpha0.1,10,1,1
transitive_alpha0.2,10,0,0.973187686196624
transitive_alpha0.2,10,1,1
transitive_alpha0.3,10,0,0.973187686196624
transitive_alpha0.3,10,1,1
transitive_alpha0.4,10,0,0.971201588877855
transitive_alpha0.4,10,1,1
transitive_alpha0.5,10,0,0.998013902681231
transitive_alpha0.5,10,1,1
transitive_alpha0.6,10,0,0.998013902681231
transitive_alpha0.6,10,1,1
transitive_alpha0.7,10,0,0.998013902681231
transitive_alpha0.7,10,1,1
transitive_alpha0.8,10,0,0.998013902681231
transitive_alpha0.8,10,1,1
transitive_alpha0.9,10,0,1
transitive_alpha0.9,10,1,1
transitive_alpha0.999,10,0,1
transitive_alpha0.999,10,1,1
transitivedpi_alpha0.0,10,0,0.387288977159881
transitivedpi_alpha0.0,10,1,0.387288977159881
transitivedpi_alpha0.1,10,0,0.960278053624628
transitivedpi_alpha0.1,10,1,0.999006951340616
transitivedpi_alpha0.2,10,0,0.960278053624628
transitivedpi_alpha0.2,10,1,0.999006951340616
transitivedpi_alpha0.3,10,0,0.960278053624628
transitivedpi_alpha0.3,10,1,0.999006951340616
transitivedpi_alpha0.4,10,0,0.960278053624628
transitivedpi_alpha0.4,10,1,0.999006951340616
transitivedpi_alpha0.5,10,0,0.971201588877855
transitivedpi_alpha0.5,10,1,0.999006951340616
transitivedpi_alpha0.6,10,0,0.984111221449851
transitivedpi_alpha0.6,10,1,0.999006951340616
transitivedpi_alpha0.7,10,0,0.984111221449851
transitivedpi_alpha0.7,10,1,0.999006951340616
transitivedpi_alpha0.8,10,0,0.984111221449851
transitivedpi_alpha0.8,10,1,0.999006951340616
transitivedpi_alpha0.9,10,0,0.999006951340616
transitivedpi_alpha0.9,10,1,0.999006951340616
transitivedpi_alpha0.999,10,0,0.999006951340616
transitivedpi_alpha0.999,10,1,0.999006951340616
